filename,filedir,filedir_rec,lmb,color_format,enctime,dectime,bpp,gpcc_bpp,memory,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
House_without_roof_00057_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/House_without_roof_00057_vox12.ply,output/object_vox12/mpeg_dense/House_without_roof_00057_vox12_R1.ply,32768,yuv,61.159,45.113,1.314,0.009,5.943,0,inf,0,inf,0.000101186,3.48E-05,2.97E-05,39.9488,44.5799,45.2711,39.949,41.193
House_without_roof_00057_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/House_without_roof_00057_vox12.ply,output/object_vox12/mpeg_dense/House_without_roof_00057_vox12_R2.ply,16384,yuv,52.306,39.462,1.014,0.009,5.943,0,inf,0,inf,0.000143003,3.96E-05,3.24E-05,38.4465,44.0285,44.8962,38.447,39.95
House_without_roof_00057_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/House_without_roof_00057_vox12.ply,output/object_vox12/mpeg_dense/House_without_roof_00057_vox12_R3.ply,8192,yuv,51.122,35.549,0.768,0.009,5.943,0,inf,0,inf,0.000209781,4.67E-05,3.61E-05,36.7823,43.3024,44.4205,36.782,38.552
House_without_roof_00057_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/House_without_roof_00057_vox12.ply,output/object_vox12/mpeg_dense/House_without_roof_00057_vox12_R5.ply,4096,yuv,45.745,33.038,0.476,0.009,5.943,0,inf,0,inf,0.000387635,5.96E-05,4.18E-05,34.1158,42.2485,43.7899,34.116,36.342
House_without_roof_00057_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/House_without_roof_00057_vox12.ply,output/object_vox12/mpeg_dense/House_without_roof_00057_vox12_R6.ply,2048,yuv,44.337,30.508,0.339,0.009,5.943,0,inf,0,inf,0.00053014,7.09E-05,4.66E-05,32.7561,41.495,43.3168,32.756,35.169
House_without_roof_00057_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/House_without_roof_00057_vox12.ply,output/object_vox12/mpeg_dense/House_without_roof_00057_vox12_R7.ply,2048,yuv,46.338,30.67,0.228,0.009,5.943,0,inf,0,inf,0.000728262,8.24E-05,5.25E-05,31.3771,40.8429,42.7947,31.377,33.988
House_without_roof_00057_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/House_without_roof_00057_vox12.ply,output/object_vox12/mpeg_dense/House_without_roof_00057_vox12_R8.ply,1024,yuv,41.629,28.991,0.167,0.009,5.943,0,inf,0,inf,0.00085211,8.99E-05,5.51E-05,30.695,40.4618,42.5902,30.695,33.403
House_without_roof_00057_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/House_without_roof_00057_vox12.ply,output/object_vox12/mpeg_dense/House_without_roof_00057_vox12_R9.ply,512,yuv,41.735,27.976,0.12,0.009,5.943,0,inf,0,inf,0.0010337,0.000100495,5.82E-05,29.8561,39.9785,42.3499,29.856,32.683
House_without_roof_00057_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/House_without_roof_00057_vox12.ply,output/object_vox12/mpeg_dense/House_without_roof_00057_vox12_R10.ply,512,yuv,40.303,26.71,0.076,0.009,5.943,0,inf,0,inf,0.0013004,0.000118262,6.65E-05,28.8592,39.2715,41.7717,28.859,31.775
House_without_roof_00057_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/House_without_roof_00057_vox12.ply,output/object_vox12/mpeg_dense/House_without_roof_00057_vox12_R11.ply,256,yuv,39.779,26.224,0.056,0.009,5.943,0,inf,0,inf,0.00144982,0.000129505,6.95E-05,28.3869,38.8771,41.5825,28.387,31.348
