filename,filedir,filedir_rec,lmb,color_format,enctime,dectime,bpp,gpcc_bpp,memory,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
Staue_Klimt_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Staue_Klimt_vox12.ply,output/object_vox12/mpeg_sparse/Staue_Klimt_vox12_R1.ply,32768,yuv,9.963,8.511,2.582,0.037,6.628,0,inf,0,inf,0.000123264,0.000104023,9.67E-05,39.0916,39.8287,40.146,39.092,39.316
Staue_Klimt_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Staue_Klimt_vox12.ply,output/object_vox12/mpeg_sparse/Staue_Klimt_vox12_R2.ply,16384,yuv,8.964,7.267,2.037,0.037,6.628,0,inf,0,inf,0.000182906,0.000120296,0.000107492,37.3777,39.1975,39.6862,37.378,37.894
Staue_Klimt_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Staue_Klimt_vox12.ply,output/object_vox12/mpeg_sparse/Staue_Klimt_vox12_R3.ply,8192,yuv,7.984,6.416,1.59,0.037,6.628,0,inf,0,inf,0.000280787,0.00014466,0.000126103,35.5162,38.3965,38.9927,35.516,36.311
Staue_Klimt_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Staue_Klimt_vox12.ply,output/object_vox12/mpeg_sparse/Staue_Klimt_vox12_R4.ply,8192,yuv,7.817,6.447,1.379,0.037,6.628,0,inf,0,inf,0.000401804,0.000190085,0.000162457,33.9599,37.2105,37.8926,33.96,34.858
Staue_Klimt_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Staue_Klimt_vox12.ply,output/object_vox12/mpeg_sparse/Staue_Klimt_vox12_R5.ply,4096,yuv,7.044,5.866,1.068,0.037,6.628,0,inf,0,inf,0.000553996,0.000213386,0.000177791,32.5649,36.7083,37.5009,32.565,33.7
Staue_Klimt_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Staue_Klimt_vox12.ply,output/object_vox12/mpeg_sparse/Staue_Klimt_vox12_R6.ply,2048,yuv,6.9,5.328,0.801,0.037,6.628,0,inf,0,inf,0.000815003,0.000255693,0.000200568,30.8884,35.9228,36.9774,30.888,32.279
Staue_Klimt_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Staue_Klimt_vox12.ply,output/object_vox12/mpeg_sparse/Staue_Klimt_vox12_R8.ply,1024,yuv,8.245,5.016,0.449,0.037,6.628,0,inf,0,inf,0.00151356,0.000379098,0.00030678,28.2,34.2125,35.1317,28.2,29.818
Staue_Klimt_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Staue_Klimt_vox12.ply,output/object_vox12/mpeg_sparse/Staue_Klimt_vox12_R9.ply,512,yuv,7.044,4.505,0.337,0.037,6.628,0,inf,0,inf,0.00188653,0.000442047,0.000336679,27.2434,33.5453,34.7278,27.243,28.967
Staue_Klimt_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Staue_Klimt_vox12.ply,output/object_vox12/mpeg_sparse/Staue_Klimt_vox12_R10.ply,512,yuv,6.172,4.194,0.253,0.037,6.628,0,inf,0,inf,0.0026077,0.00056417,0.000394929,25.8374,32.4859,34.0348,25.837,27.693
Staue_Klimt_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Staue_Klimt_vox12.ply,output/object_vox12/mpeg_sparse/Staue_Klimt_vox12_R11.ply,256,yuv,6.188,4.337,0.198,0.037,6.628,0,inf,0,inf,0.00291861,0.000624717,0.00041853,25.3482,32.0432,33.7827,25.348,27.239
