filename,filedir,filedir_rec,lmb,color_format,enctime,dectime,bpp,gpcc_bpp,memory,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
Thaidancer_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/boxer_thaidancer/thaidancer_viewdep_vox12/Thaidancer_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part2/Thaidancer_viewdep_vox12_R1.ply,32768,yuv,20.131,12.728,0.816,0.003,2.195,0,inf,0,inf,3.89E-05,1.28E-05,1.54E-05,44.1057,48.9127,48.1353,44.106,45.21
Thaidancer_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/boxer_thaidancer/thaidancer_viewdep_vox12/Thaidancer_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part2/Thaidancer_viewdep_vox12_R2.ply,16384,yuv,20.686,11.343,0.633,0.003,2.195,0,inf,0,inf,5.43E-05,1.67E-05,1.92E-05,42.6499,47.7807,47.1559,42.65,43.855
Thaidancer_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/boxer_thaidancer/thaidancer_viewdep_vox12/Thaidancer_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part2/Thaidancer_viewdep_vox12_R3.ply,8192,yuv,20.92,10.861,0.486,0.003,2.195,0,inf,0,inf,7.90E-05,2.31E-05,2.62E-05,41.0224,46.3593,45.8131,41.022,42.288
Thaidancer_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/boxer_thaidancer/thaidancer_viewdep_vox12/Thaidancer_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part2/Thaidancer_viewdep_vox12_R4.ply,8192,yuv,22.566,11.601,0.428,0.003,2.195,0,inf,0,inf,9.08E-05,2.95E-05,3.44E-05,40.4176,45.308,44.6352,40.418,41.556
Thaidancer_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/boxer_thaidancer/thaidancer_viewdep_vox12/Thaidancer_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part2/Thaidancer_viewdep_vox12_R5.ply,4096,yuv,18.57,11.077,0.33,0.003,2.195,0,inf,0,inf,0.00012407,3.83E-05,4.34E-05,39.0633,44.1631,43.6252,39.063,40.271
Thaidancer_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/boxer_thaidancer/thaidancer_viewdep_vox12/Thaidancer_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part2/Thaidancer_viewdep_vox12_R6.ply,2048,yuv,18.86,10.677,0.252,0.003,2.195,0,inf,0,inf,0.000183845,5.52E-05,6.00E-05,37.3555,42.5814,42.2189,37.355,38.617
Thaidancer_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/boxer_thaidancer/thaidancer_viewdep_vox12/Thaidancer_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part2/Thaidancer_viewdep_vox12_R8.ply,1024,yuv,18.675,10.417,0.172,0.003,2.195,0,inf,0,inf,0.000330347,0.000107703,0.000126445,34.8103,39.6777,38.981,34.81,35.94
Thaidancer_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/boxer_thaidancer/thaidancer_viewdep_vox12/Thaidancer_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part2/Thaidancer_viewdep_vox12_R9.ply,512,yuv,17.524,10.261,0.126,0.003,2.195,0,inf,0,inf,0.000480016,0.000157915,0.000176029,33.1874,38.0158,37.5442,33.187,34.336
Thaidancer_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/boxer_thaidancer/thaidancer_viewdep_vox12/Thaidancer_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part2/Thaidancer_viewdep_vox12_R10.ply,512,yuv,18.523,10.356,0.092,0.003,2.195,0,inf,0,inf,0.000641228,0.000210611,0.000214931,31.9299,36.7652,36.677,31.93,33.128
Thaidancer_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/boxer_thaidancer/thaidancer_viewdep_vox12/Thaidancer_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part2/Thaidancer_viewdep_vox12_R11.ply,256,yuv,18.008,10.051,0.069,0.003,2.195,0,inf,0,inf,0.00083695,0.000267948,0.000268446,30.773,35.7195,35.7114,30.773,32.009
