filename,filedir,filedir_rec,lmb,color_format,enctime,dectime,bpp,gpcc_bpp,memory,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
longdress_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/longdress_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/longdress_viewdep_vox12_R1.ply,32768,yuv,33.014,24.118,1.144,0.008,3.133,0,inf,0,inf,6.67E-05,2.88E-05,3.59E-05,41.7605,45.4131,44.4465,41.761,42.553
longdress_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/longdress_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/longdress_viewdep_vox12_R2.ply,16384,yuv,29.533,21.576,0.887,0.008,3.133,0,inf,0,inf,9.04E-05,3.53E-05,4.22E-05,40.4375,44.5256,43.7472,40.438,41.362
longdress_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/longdress_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/longdress_viewdep_vox12_R3.ply,8192,yuv,27.031,19.943,0.677,0.008,3.133,0,inf,0,inf,0.000127141,4.59E-05,5.34E-05,38.9572,43.378,42.7274,38.957,39.981
longdress_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/longdress_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/longdress_viewdep_vox12_R4.ply,8192,yuv,28.493,19.995,0.58,0.008,3.133,0,inf,0,inf,0.000161909,6.99E-05,8.29E-05,37.9073,41.5531,40.8169,37.907,38.727
longdress_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/longdress_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/longdress_viewdep_vox12_R5.ply,4096,yuv,27.422,18.771,0.444,0.008,3.133,0,inf,0,inf,0.000211889,8.61E-05,9.68E-05,36.7389,40.6524,40.1414,36.739,37.653
longdress_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/longdress_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/longdress_viewdep_vox12_R6.ply,2048,yuv,26.545,18.009,0.334,0.008,3.133,0,inf,0,inf,0.000293313,0.000114427,0.000121854,35.3267,39.4147,39.1416,35.327,36.315
longdress_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/longdress_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/longdress_viewdep_vox12_R8.ply,1024,yuv,27.337,17.235,0.206,0.008,3.133,0,inf,0,inf,0.000505836,0.000224252,0.000275523,32.9599,36.4926,35.5984,32.96,33.731
longdress_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/longdress_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/longdress_viewdep_vox12_R9.ply,512,yuv,25.963,16.57,0.151,0.008,3.133,0,inf,0,inf,0.000683493,0.000289149,0.000346702,31.6527,35.3888,34.6004,31.653,32.488
longdress_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/longdress_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/longdress_viewdep_vox12_R10.ply,512,yuv,26.2,16.34,0.108,0.008,3.133,0,inf,0,inf,0.000913246,0.000393976,0.000460842,30.3941,34.0453,33.3645,30.394,31.222
longdress_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/longdress_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/longdress_viewdep_vox12_R11.ply,256,yuv,27.447,16.331,0.081,0.008,3.133,0,inf,0,inf,0.00114331,0.000468079,0.000543525,29.4183,33.2968,32.6478,29.418,30.307
