filename,filedir,filedir_rec,lmb,color_format,enctime,dectime,bpp,gpcc_bpp,memory,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
basketball_player_vox11_00000200,/home/temp/wjq/dataset/shared/object/Owlii/Owlii/basketball_player_vox11_00000200.ply,output/owlii_vox11/basketball_player_vox11_00000200_R1.ply,32768,yuv,12.69,9.789,0.323,0.016,8.128,0.0,inf,0.0,inf,4.74301e-05,2.78694e-05,9.50511e-06,43.2395,45.5487,50.2204,43.239,44.401
basketball_player_vox11_00000200,/home/temp/wjq/dataset/shared/object/Owlii/Owlii/basketball_player_vox11_00000200.ply,output/owlii_vox11/basketball_player_vox11_00000200_R2.ply,16384,yuv,11.377,9.28,0.231,0.016,8.128,0.0,inf,0.0,inf,6.01121e-05,3.12052e-05,1.08217e-05,42.2104,45.0577,49.6571,42.21,43.497
basketball_player_vox11_00000200,/home/temp/wjq/dataset/shared/object/Owlii/Owlii/basketball_player_vox11_00000200.ply,output/owlii_vox11/basketball_player_vox11_00000200_R3.ply,8192,yuv,11.506,8.063,0.159,0.016,8.128,0.0,inf,0.0,inf,8.21014e-05,3.52612e-05,1.25894e-05,40.8565,44.527,48.9999,40.856,42.333
basketball_player_vox11_00000200,/home/temp/wjq/dataset/shared/object/Owlii/Owlii/basketball_player_vox11_00000200.ply,output/owlii_vox11/basketball_player_vox11_00000200_R4.ply,8192,yuv,10.744,8.317,0.122,0.016,8.128,0.0,inf,0.0,inf,9.13988e-05,3.84576e-05,1.199e-05,40.3906,44.1502,49.2118,40.391,41.963
basketball_player_vox11_00000200,/home/temp/wjq/dataset/shared/object/Owlii/Owlii/basketball_player_vox11_00000200.ply,output/owlii_vox11/basketball_player_vox11_00000200_R5.ply,4096,yuv,10.61,8.124,0.088,0.016,8.128,0.0,inf,0.0,inf,0.000110919,4.08901e-05,1.30252e-05,39.55,43.8838,48.8522,39.55,41.254
basketball_player_vox11_00000200,/home/temp/wjq/dataset/shared/object/Owlii/Owlii/basketball_player_vox11_00000200.ply,output/owlii_vox11/basketball_player_vox11_00000200_R6.ply,2048,yuv,10.836,7.519,0.064,0.016,8.128,0.0,inf,0.0,inf,0.000141693,4.36956e-05,1.43771e-05,38.4865,43.5956,48.4233,38.486,40.367
basketball_player_vox11_00000200,/home/temp/wjq/dataset/shared/object/Owlii/Owlii/basketball_player_vox11_00000200.ply,output/owlii_vox11/basketball_player_vox11_00000200_R7.ply,1024,yuv,9.917,7.006,0.046,0.016,8.128,0.0,inf,0.0,inf,0.000189883,4.764e-05,1.8572e-05,37.2151,43.2203,47.3114,37.215,39.228
basketball_player_vox11_00000200,/home/temp/wjq/dataset/shared/object/Owlii/Owlii/basketball_player_vox11_00000200.ply,output/owlii_vox11/basketball_player_vox11_00000200_R8.ply,512,yuv,9.237,6.657,0.035,0.016,8.128,0.0,inf,0.0,inf,0.000252982,5.01231e-05,1.98413e-05,35.9691,42.9996,47.0243,35.969,38.23
basketball_player_vox11_00000200,/home/temp/wjq/dataset/shared/object/Owlii/Owlii/basketball_player_vox11_00000200.ply,output/owlii_vox11/basketball_player_vox11_00000200_R9.ply,256,yuv,9.086,6.253,0.028,0.016,8.128,0.0,inf,0.0,inf,0.000341138,5.0495e-05,2.17154e-05,34.6707,42.9675,46.6323,34.671,37.203
basketball_player_vox11_00000200,/home/temp/wjq/dataset/shared/object/Owlii/Owlii/basketball_player_vox11_00000200.ply,output/owlii_vox11/basketball_player_vox11_00000200_R10.ply,128,yuv,9.036,6.078,0.023,0.016,8.128,0.0,inf,0.0,inf,0.000449406,5.43189e-05,2.27532e-05,33.4736,42.6505,46.4296,33.474,36.24
