filename,filedir,filedir_rec,lmb,color_format,enctime,dectime,bpp,gpcc_bpp,memory,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
Facade_00009_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/Facade_00009_vox12.ply,output/object_vox12/mpeg_dense/Facade_00009_vox12_R1.ply,32768,yuv,21.429,18.527,1.803,0.017,3.951,0,inf,0,inf,0.000118765,2.95E-05,5.95E-05,39.2531,45.2978,42.2515,39.253,40.383
Facade_00009_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/Facade_00009_vox12.ply,output/object_vox12/mpeg_dense/Facade_00009_vox12_R2.ply,16384,yuv,20.347,15.284,1.41,0.017,3.951,0,inf,0,inf,0.000170216,3.50E-05,6.68E-05,37.69,44.5532,41.749,37.69,39.055
Facade_00009_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/Facade_00009_vox12.ply,output/object_vox12/mpeg_dense/Facade_00009_vox12_R3.ply,8192,yuv,16.504,14.472,1.084,0.017,3.951,0,inf,0,inf,0.000249616,4.31E-05,7.82E-05,36.0273,43.6587,41.0662,36.027,37.611
Facade_00009_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/Facade_00009_vox12.ply,output/object_vox12/mpeg_dense/Facade_00009_vox12_R4.ply,8192,yuv,16.584,13.594,0.905,0.017,3.951,0,inf,0,inf,0.000335114,5.83E-05,9.25E-05,34.7481,42.34,40.3382,34.748,36.396
Facade_00009_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/Facade_00009_vox12.ply,output/object_vox12/mpeg_dense/Facade_00009_vox12_R5.ply,4096,yuv,15.811,13.28,0.683,0.017,3.951,0,inf,0,inf,0.00044342,6.87E-05,0.000100254,33.5318,41.6276,39.989,33.532,35.351
Facade_00009_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/Facade_00009_vox12.ply,output/object_vox12/mpeg_dense/Facade_00009_vox12_R6.ply,2048,yuv,15.144,12.483,0.508,0.017,3.951,0,inf,0,inf,0.000612835,8.23E-05,0.000112771,32.1266,40.8469,39.478,32.127,34.136
Facade_00009_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/Facade_00009_vox12.ply,output/object_vox12/mpeg_dense/Facade_00009_vox12_R8.ply,1024,yuv,15.463,12.113,0.315,0.017,3.951,0,inf,0,inf,0.00105428,8.50E-05,0.000152445,29.7704,40.7053,38.1689,29.77,32.187
Facade_00009_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/Facade_00009_vox12.ply,output/object_vox12/mpeg_dense/Facade_00009_vox12_R9.ply,512,yuv,15.153,11.747,0.239,0.017,3.951,0,inf,0,inf,0.00139121,9.98E-05,0.000164064,28.5661,40.01,37.8499,28.566,31.157
Facade_00009_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/Facade_00009_vox12.ply,output/object_vox12/mpeg_dense/Facade_00009_vox12_R10.ply,512,yuv,14.908,11.314,0.186,0.017,3.951,0,inf,0,inf,0.00201228,0.000117985,0.000181693,26.9631,39.2817,37.4066,26.963,29.808
Facade_00009_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/dense/Facade_00009_vox12.ply,output/object_vox12/mpeg_dense/Facade_00009_vox12_R11.ply,256,yuv,15.275,11.008,0.145,0.017,3.951,0,inf,0,inf,0.0023959,0.000131449,0.000194556,26.2053,38.8124,37.1096,26.205,29.144
