filename,filedir_rec,lmb,color_format,runtime,enctime,dectime,memory,density,variance,num_points,gpcc_bpp,bpp,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
basketball_player_vox11_00000200,./output/ours_new/owlii/basketball_player_vox11_00000200_R1.ply,32768,yuv,3.969,3.969,1.986,7.397,0.521562,0.069629,796217,0.015,0.531,0,inf,0,inf,3.87E-05,2.24E-05,8.84E-06,44.1213,46.5005,50.5361,44.121,45.221
basketball_player_vox11_00000200,./output/ours_new/owlii/basketball_player_vox11_00000200_R2.ply,16384,yuv,2.753,2.753,1.585,7.397,0.521562,0.069629,796217,0.015,0.388,0,inf,0,inf,5.24E-05,2.61E-05,1.05E-05,42.8036,45.8377,49.8021,42.804,44.058
basketball_player_vox11_00000200,./output/ours_new/owlii/basketball_player_vox11_00000200_R3.ply,8192,yuv,2.538,2.538,1.377,7.397,0.521562,0.069629,796217,0.015,0.273,0,inf,0,inf,7.62E-05,3.11E-05,1.32E-05,41.1823,45.0711,48.8094,41.182,42.622
basketball_player_vox11_00000200,./output/ours_new/owlii/basketball_player_vox11_00000200_R4.ply,8192,yuv,2.921,2.921,1.601,7.397,0.521562,0.069629,796217,0.015,0.194,0,inf,0,inf,9.28E-05,3.53E-05,1.47E-05,40.3245,44.5178,48.3304,40.325,41.849
basketball_player_vox11_00000200,./output/ours_new/owlii/basketball_player_vox11_00000200_R5.ply,4096,yuv,2.667,2.667,1.47,7.397,0.521562,0.069629,796217,0.015,0.142,0,inf,0,inf,0.000121344,3.81E-05,1.62E-05,39.1598,44.1927,47.9029,39.16,40.882
basketball_player_vox11_00000200,./output/ours_new/owlii/basketball_player_vox11_00000200_R6.ply,2048,yuv,2.503,2.503,1.35,7.397,0.521562,0.069629,796217,0.015,0.1,0,inf,0,inf,0.00017176,4.16E-05,1.82E-05,37.6508,43.8101,47.4082,37.651,39.64
basketball_player_vox11_00000200,./output/ours_new/owlii/basketball_player_vox11_00000200_R7.ply,1024,yuv,2.441,2.441,1.265,7.397,0.521562,0.069629,796217,0.015,0.07,0,inf,0,inf,0.000255391,4.54E-05,2.35E-05,35.9279,43.4335,46.2842,35.928,38.161
basketball_player_vox11_00000200,./output/ours_new/owlii/basketball_player_vox11_00000200_R8.ply,512,yuv,2.37,2.37,1.192,7.397,0.521562,0.069629,796217,0.015,0.05,0,inf,0,inf,0.000365489,4.82E-05,2.48E-05,34.3713,43.1703,46.0498,34.371,36.931
basketball_player_vox11_00000200,./output/ours_new/owlii/basketball_player_vox11_00000200_R9.ply,256,yuv,2.44,2.44,1.113,7.397,0.521562,0.069629,796217,0.015,0.036,0,inf,0,inf,0.000516629,4.90E-05,2.68E-05,32.8682,43.1007,45.7194,32.868,35.754
basketball_player_vox11_00000200,./output/ours_new/owlii/basketball_player_vox11_00000200_R10.ply,128,yuv,2.319,2.319,1.021,7.397,0.521562,0.069629,796217,0.015,0.027,0,inf,0,inf,0.00073262,5.19E-05,2.91E-05,31.3512,42.8475,45.3621,31.351,34.54
