filename,filedir_rec,lmb,color_format,runtime,enctime,dectime,memory,density,variance,num_points,gpcc_bpp,bpp,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
dancer_vox11_00000001,./output/ours_new/owlii/dancer_vox11_00000001_R1.ply,32768,yuv,2.672,2.672,1.611,7.397,0.40823,0.057094,702038,0.016,0.642,0,inf,0,inf,4.26E-05,1.69E-05,7.99E-06,43.7071,47.7225,50.9735,43.707,45.117
dancer_vox11_00000001,./output/ours_new/owlii/dancer_vox11_00000001_R2.ply,16384,yuv,2.446,2.446,1.4,7.397,0.40823,0.057094,702038,0.016,0.474,0,inf,0,inf,5.85E-05,1.98E-05,9.71E-06,42.3291,47.0419,50.1265,42.329,43.893
dancer_vox11_00000001,./output/ours_new/owlii/dancer_vox11_00000001_R3.ply,8192,yuv,2.276,2.276,1.213,7.397,0.40823,0.057094,702038,0.016,0.346,0,inf,0,inf,8.58E-05,2.40E-05,1.21E-05,40.6633,46.205,49.1875,40.663,42.422
dancer_vox11_00000001,./output/ours_new/owlii/dancer_vox11_00000001_R4.ply,8192,yuv,2.538,2.538,1.479,7.397,0.40823,0.057094,702038,0.016,0.246,0,inf,0,inf,0.000112078,2.87E-05,1.66E-05,39.5048,45.4233,47.7887,39.505,41.28
dancer_vox11_00000001,./output/ours_new/owlii/dancer_vox11_00000001_R5.ply,4096,yuv,2.363,2.363,1.326,7.397,0.40823,0.057094,702038,0.016,0.184,0,inf,0,inf,0.000146193,3.08E-05,1.82E-05,38.3507,45.1114,47.3878,38.351,40.325
dancer_vox11_00000001,./output/ours_new/owlii/dancer_vox11_00000001_R6.ply,2048,yuv,2.249,2.249,1.212,7.397,0.40823,0.057094,702038,0.016,0.129,0,inf,0,inf,0.00020898,3.45E-05,2.15E-05,36.799,44.6198,46.6837,36.799,39.012
dancer_vox11_00000001,./output/ours_new/owlii/dancer_vox11_00000001_R7.ply,1024,yuv,2.323,2.323,1.112,7.397,0.40823,0.057094,702038,0.016,0.087,0,inf,0,inf,0.000314565,3.95E-05,3.24E-05,35.0229,44.0294,44.8972,35.023,37.383
dancer_vox11_00000001,./output/ours_new/owlii/dancer_vox11_00000001_R8.ply,512,yuv,2.358,2.358,1.076,7.397,0.40823,0.057094,702038,0.016,0.062,0,inf,0,inf,0.000441541,4.32E-05,3.77E-05,33.5503,43.6469,44.2421,33.55,36.149
dancer_vox11_00000001,./output/ours_new/owlii/dancer_vox11_00000001_R9.ply,256,yuv,2.291,2.291,1.017,7.397,0.40823,0.057094,702038,0.016,0.046,0,inf,0,inf,0.000634016,4.50E-05,4.21E-05,31.979,43.4674,43.7601,31.979,34.888
dancer_vox11_00000001,./output/ours_new/owlii/dancer_vox11_00000001_R10.ply,128,yuv,2.051,2.051,0.957,7.397,0.40823,0.057094,702038,0.016,0.035,0,inf,0,inf,0.000857463,4.87E-05,4.53E-05,30.6678,43.1248,43.4379,30.668,33.821
