filename,filedir_rec,lmb,color_format,runtime,enctime,dectime,memory,density,variance,num_points,gpcc_bpp,bpp,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
exercise_vox11_00000001,./output/ours_new/owlii/exercise_vox11_00000001_R1.ply,32768,yuv,2.435,2.435,1.469,7.397,0.766605,0.040227,645135,0.013,0.573,0,inf,0,inf,5.67E-05,2.22E-05,1.05E-05,42.4644,46.5417,49.773,42.464,43.888
exercise_vox11_00000001,./output/ours_new/owlii/exercise_vox11_00000001_R2.ply,16384,yuv,2.256,2.256,1.276,7.397,0.766605,0.040227,645135,0.013,0.405,0,inf,0,inf,7.44E-05,2.56E-05,1.22E-05,41.2832,45.9252,49.1504,41.283,42.847
exercise_vox11_00000001,./output/ours_new/owlii/exercise_vox11_00000001_R3.ply,8192,yuv,2.083,2.083,1.106,7.397,0.766605,0.040227,645135,0.013,0.272,0,inf,0,inf,0.000102554,3.07E-05,1.45E-05,39.8905,45.1275,48.3901,39.891,41.608
exercise_vox11_00000001,./output/ours_new/owlii/exercise_vox11_00000001_R4.ply,8192,yuv,2.243,2.243,1.255,7.397,0.766605,0.040227,645135,0.013,0.165,0,inf,0,inf,0.000123829,3.34E-05,1.59E-05,39.0718,44.7593,47.9764,39.072,40.896
exercise_vox11_00000001,./output/ours_new/owlii/exercise_vox11_00000001_R5.ply,4096,yuv,2.266,2.266,1.123,7.397,0.766605,0.040227,645135,0.013,0.111,0,inf,0,inf,0.000155934,3.62E-05,1.70E-05,38.0706,44.4084,47.7062,38.071,40.067
exercise_vox11_00000001,./output/ours_new/owlii/exercise_vox11_00000001_R6.ply,2048,yuv,2.026,2.026,1.039,7.397,0.766605,0.040227,645135,0.013,0.074,0,inf,0,inf,0.000204906,3.91E-05,1.84E-05,36.8845,44.0788,47.3441,36.885,39.091
exercise_vox11_00000001,./output/ours_new/owlii/exercise_vox11_00000001_R7.ply,1024,yuv,2.029,2.029,1.008,7.397,0.766605,0.040227,645135,0.013,0.049,0,inf,0,inf,0.000272445,4.40E-05,2.23E-05,35.6472,43.5682,46.5176,35.647,37.996
exercise_vox11_00000001,./output/ours_new/owlii/exercise_vox11_00000001_R8.ply,512,yuv,2.023,2.023,0.904,7.397,0.766605,0.040227,645135,0.013,0.033,0,inf,0,inf,0.000356023,5.00E-05,2.50E-05,34.4852,43.0134,46.0141,34.485,36.992
exercise_vox11_00000001,./output/ours_new/owlii/exercise_vox11_00000001_R9.ply,256,yuv,1.833,1.833,0.858,7.397,0.766605,0.040227,645135,0.013,0.025,0,inf,0,inf,0.000461987,5.35E-05,2.75E-05,33.3537,42.7183,45.6099,33.354,36.056
exercise_vox11_00000001,./output/ours_new/owlii/exercise_vox11_00000001_R10.ply,128,yuv,1.874,1.874,0.829,7.397,0.766605,0.040227,645135,0.013,0.021,0,inf,0,inf,0.000573321,5.67E-05,2.87E-05,32.416,42.4618,45.424,32.416,35.298
