filename,filedir_rec,lmb,color_format,runtime,enctime,dectime,memory,density,variance,num_points,gpcc_bpp,bpp,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
model_vox11_00000001,./output/ours_new/owlii/model_vox11_00000001_R1.ply,32768,yuv,2.603,2.603,1.597,7.397,0.795635,0.044979,657755,0.016,0.913,0,inf,0,inf,4.62E-05,2.39E-05,1.10E-05,43.3563,46.2156,49.6012,43.356,44.494
model_vox11_00000001,./output/ours_new/owlii/model_vox11_00000001_R2.ply,16384,yuv,2.361,2.361,1.368,7.397,0.795635,0.044979,657755,0.016,0.696,0,inf,0,inf,6.82E-05,2.78E-05,1.37E-05,41.6596,45.5652,48.6447,41.66,43.021
model_vox11_00000001,./output/ours_new/owlii/model_vox11_00000001_R3.ply,8192,yuv,2.205,2.205,1.155,7.397,0.795635,0.044979,657755,0.016,0.52,0,inf,0,inf,0.000106651,3.38E-05,1.89E-05,39.7203,44.7069,47.2413,39.72,41.284
model_vox11_00000001,./output/ours_new/owlii/model_vox11_00000001_R4.ply,8192,yuv,2.561,2.561,1.434,7.397,0.795635,0.044979,657755,0.016,0.35,0,inf,0,inf,0.00016718,4.13E-05,2.74E-05,37.7682,43.8453,45.6265,37.768,39.51
model_vox11_00000001,./output/ours_new/owlii/model_vox11_00000001_R5.ply,4096,yuv,2.268,2.268,1.273,7.397,0.795635,0.044979,657755,0.016,0.275,0,inf,0,inf,0.000208154,4.49E-05,3.07E-05,36.8162,43.4744,45.1254,36.816,38.687
model_vox11_00000001,./output/ours_new/owlii/model_vox11_00000001_R6.ply,2048,yuv,2.13,2.13,1.148,7.397,0.795635,0.044979,657755,0.016,0.203,0,inf,0,inf,0.00028789,5.06E-05,3.57E-05,35.4077,42.9595,44.4702,35.408,37.484
model_vox11_00000001,./output/ours_new/owlii/model_vox11_00000001_R7.ply,1024,yuv,2.039,2.039,1.046,7.397,0.795635,0.044979,657755,0.016,0.141,0,inf,0,inf,0.000434812,5.78E-05,5.29E-05,33.617,42.3821,42.7671,33.617,35.856
model_vox11_00000001,./output/ours_new/owlii/model_vox11_00000001_R8.ply,512,yuv,1.976,1.976,0.962,7.397,0.795635,0.044979,657755,0.016,0.094,0,inf,0,inf,0.000665341,6.22E-05,5.84E-05,31.7696,42.0639,42.3348,31.77,34.377
model_vox11_00000001,./output/ours_new/owlii/model_vox11_00000001_R9.ply,256,yuv,1.864,1.864,0.903,7.397,0.795635,0.044979,657755,0.016,0.066,0,inf,0,inf,0.000980046,6.55E-05,6.75E-05,30.0875,41.8367,41.7054,30.087,33.008
model_vox11_00000001,./output/ours_new/owlii/model_vox11_00000001_R10.ply,128,yuv,2.018,2.018,0.875,7.397,0.795635,0.044979,657755,0.016,0.049,0,inf,0,inf,0.00138081,6.87E-05,7.36E-05,28.5986,41.6287,41.3324,28.599,31.819
