filename,filedir,filedir_rec,lmb,color_format,enctime,dectime,bpp,gpcc_bpp,memory,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
dancer_vox11_00000001,/home/temp/wjq/dataset/shared/object/Owlii/Owlii/dancer_vox11_00000001.ply,output/owlii_vox11/dancer_vox11_00000001_R1.ply,32768,yuv,10.396,7.721,0.38,0.017,8.128,0.0,inf,0.0,inf,5.26739e-05,2.16599e-05,8.57199e-06,42.784,46.6434,50.6692,42.784,44.252
dancer_vox11_00000001,/home/temp/wjq/dataset/shared/object/Owlii/Owlii/dancer_vox11_00000001.ply,output/owlii_vox11/dancer_vox11_00000001_R2.ply,16384,yuv,9.958,7.309,0.276,0.017,8.128,0.0,inf,0.0,inf,6.6959e-05,2.42957e-05,9.80066e-06,41.7419,46.1447,50.0874,41.742,43.335
dancer_vox11_00000001,/home/temp/wjq/dataset/shared/object/Owlii/Owlii/dancer_vox11_00000001.ply,output/owlii_vox11/dancer_vox11_00000001_R3.ply,8192,yuv,9.168,6.568,0.196,0.017,8.128,0.0,inf,0.0,inf,9.14338e-05,2.77544e-05,1.16797e-05,40.3889,45.5667,49.3257,40.389,42.153
dancer_vox11_00000001,/home/temp/wjq/dataset/shared/object/Owlii/Owlii/dancer_vox11_00000001.ply,output/owlii_vox11/dancer_vox11_00000001_R4.ply,8192,yuv,9.814,7.572,0.152,0.017,8.128,0.0,inf,0.0,inf,0.000102195,3.04137e-05,1.24386e-05,39.9057,45.1693,49.0523,39.906,41.707
dancer_vox11_00000001,/home/temp/wjq/dataset/shared/object/Owlii/Owlii/dancer_vox11_00000001.ply,output/owlii_vox11/dancer_vox11_00000001_R5.ply,4096,yuv,9.158,6.848,0.112,0.017,8.128,0.0,inf,0.0,inf,0.000125131,3.33798e-05,1.37274e-05,39.0264,44.7652,48.6241,39.026,40.943
dancer_vox11_00000001,/home/temp/wjq/dataset/shared/object/Owlii/Owlii/dancer_vox11_00000001.ply,output/owlii_vox11/dancer_vox11_00000001_R6.ply,2048,yuv,9.278,7.162,0.082,0.017,8.128,0.0,inf,0.0,inf,0.000164181,3.67667e-05,1.55293e-05,37.8468,44.3455,48.0885,37.847,39.939
dancer_vox11_00000001,/home/temp/wjq/dataset/shared/object/Owlii/Owlii/dancer_vox11_00000001.ply,output/owlii_vox11/dancer_vox11_00000001_R7.ply,1024,yuv,8.697,6.355,0.058,0.017,8.128,0.0,inf,0.0,inf,0.00022817,4.04772e-05,2.25137e-05,36.4174,43.9279,46.4755,36.417,38.613
dancer_vox11_00000001,/home/temp/wjq/dataset/shared/object/Owlii/Owlii/dancer_vox11_00000001.ply,output/owlii_vox11/dancer_vox11_00000001_R8.ply,512,yuv,8.721,5.928,0.043,0.017,8.128,0.0,inf,0.0,inf,0.000313041,4.30707e-05,2.51389e-05,35.044,43.6582,45.9965,35.044,37.49
dancer_vox11_00000001,/home/temp/wjq/dataset/shared/object/Owlii/Owlii/dancer_vox11_00000001.ply,output/owlii_vox11/dancer_vox11_00000001_R9.ply,256,yuv,8.139,5.694,0.033,0.017,8.128,0.0,inf,0.0,inf,0.000426612,4.54526e-05,2.85778e-05,33.6997,43.4244,45.4397,33.7,36.383
dancer_vox11_00000001,/home/temp/wjq/dataset/shared/object/Owlii/Owlii/dancer_vox11_00000001.ply,output/owlii_vox11/dancer_vox11_00000001_R10.ply,128,yuv,7.847,5.229,0.028,0.017,8.128,0.0,inf,0.0,inf,0.000547792,4.83608e-05,3.09582e-05,32.6138,43.1551,45.0922,32.614,35.491
