lmb,runtime,enctime,dectime,memory,density,variance,num_points,gpcc_bpp,bpp,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
32768,1.2758,1.2758,0.7466,4.6883,0.5190756,0.050171398,183302.3,0.0264,2.0582,0,inf,0,inf,8.95E-05,7.68E-05,5.71E-05,40.49633,41.37091,42.76703,40.4963,40.8895
16384,1.0875,1.0875,0.5653,4.6883,0.5190756,0.050171398,183302.3,0.0264,1.6718,0,inf,0,inf,0.000136636,8.58E-05,6.26E-05,38.6806,40.85076,42.35467,38.6807,39.4112
8192,0.9556,0.9556,0.4717,4.6883,0.5190756,0.050171398,183302.3,0.0264,1.3344,0,inf,0,inf,0.000219467,0.00010187,7.38E-05,36.6475,40.0711,41.64248,36.6475,37.7
8192,1.0014,1.0014,0.5113,4.6883,0.5190756,0.050171398,183302.3,0.0264,1.1373,0,inf,0,inf,0.000315116,0.000115056,8.96E-05,35.08538,39.58564,40.8492,35.0855,36.3683
4096,0.9168,0.9168,0.4268,4.6883,0.5190756,0.050171398,183302.3,0.0264,0.8535,0,inf,0,inf,0.000471331,0.000134573,0.000103586,33.35725,38.90254,40.24156,33.3573,34.9109
2048,0.8865,0.8865,0.3737,4.6883,0.5190756,0.050171398,183302.3,0.0264,0.599,0,inf,0,inf,0.000768453,0.000169585,0.000130159,31.25456,37.89962,39.29025,31.2548,33.0897
1024,0.8354,0.8354,0.335,4.6883,0.5190756,0.050171398,183302.3,0.0264,0.3746,0,inf,0,inf,0.001333506,0.000222983,0.00017338,28.88937,36.7565,38.12542,28.8896,31.0273
1024,0.8956,0.8956,0.3767,4.6883,0.5190756,0.050171398,183302.3,0.0264,0.3184,0,inf,0,inf,0.001662984,0.000194845,0.000169836,28.10191,37.35819,38.28151,28.1021,30.5315
512,0.8763,0.8763,0.3597,4.6883,0.5190756,0.050171398,183302.3,0.0264,0.221,0,inf,0,inf,0.002125984,0.000226483,0.000192546,26.96719,36.70871,37.7474,26.9671,29.5325
256,0.8581,0.8581,0.3275,4.6883,0.5190756,0.050171398,183302.3,0.0264,0.1506,0,inf,0,inf,0.002829956,0.00026251,0.00022565,25.69867,36.09333,37.11919,25.6988,28.4255
