filename,filedir,filedir_rec,lmb,color_format,enctime,dectime,bpp,gpcc_bpp,memory,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
Shiva_00035_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Shiva_00035_vox12.ply,output/object_vox12/mpeg_sparse/Shiva_00035_vox12_R1.ply,32768,yuv,21.825,19.227,3.792,0.035,6.628,0,inf,0,inf,0.000155907,0.000151152,0.000123813,38.0713,38.2059,39.0723,38.071,38.213
Shiva_00035_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Shiva_00035_vox12.ply,output/object_vox12/mpeg_sparse/Shiva_00035_vox12_R1.ply,32768,yuv,21.825,19.227,3.792,0.035,6.628,0,inf,0,inf,0.000155907,0.000151152,0.000123813,38.0713,38.2059,39.0723,38.071,38.213
Shiva_00035_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Shiva_00035_vox12.ply,output/object_vox12/mpeg_sparse/Shiva_00035_vox12_R2.ply,16384,yuv,18.64,16.455,3.046,0.035,6.628,0,inf,0,inf,0.000254553,0.000170267,0.000134443,35.9422,37.6887,38.7146,35.942,36.507
Shiva_00035_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Shiva_00035_vox12.ply,output/object_vox12/mpeg_sparse/Shiva_00035_vox12_R3.ply,8192,yuv,16.197,13.518,2.43,0.035,6.628,0,inf,0,inf,0.000424612,0.000198786,0.000151485,33.7201,37.0162,38.1963,33.72,34.692
Shiva_00035_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Shiva_00035_vox12.ply,output/object_vox12/mpeg_sparse/Shiva_00035_vox12_R5.ply,4096,yuv,15.141,12.162,1.698,0.035,6.628,0,inf,0,inf,0.00100107,0.000283964,0.000200491,29.9954,35.4674,36.9791,29.995,31.552
Shiva_00035_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Shiva_00035_vox12.ply,output/object_vox12/mpeg_sparse/Shiva_00035_vox12_R6.ply,2048,yuv,13.262,11.555,1.3,0.035,6.628,0,inf,0,inf,0.0015168,0.000322168,0.000221676,28.1907,34.9192,36.5428,28.191,30.076
Shiva_00035_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Shiva_00035_vox12.ply,output/object_vox12/mpeg_sparse/Shiva_00035_vox12_R8.ply,1024,yuv,15.228,9.788,0.648,0.035,6.628,0,inf,0,inf,0.00322537,0.000394822,0.000290948,24.9142,34.036,35.3619,24.914,27.36
Shiva_00035_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Shiva_00035_vox12.ply,output/object_vox12/mpeg_sparse/Shiva_00035_vox12_R9.ply,512,yuv,12.145,9.194,0.47,0.035,6.628,0,inf,0,inf,0.00392686,0.000429863,0.000310537,24.0595,33.6667,35.0789,24.059,26.638
Shiva_00035_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Shiva_00035_vox12.ply,output/object_vox12/mpeg_sparse/Shiva_00035_vox12_R10.ply,512,yuv,11.606,9.099,0.288,0.035,6.628,0,inf,0,inf,0.00549343,0.000533759,0.000401511,22.6016,32.7266,33.963,22.602,25.287
Shiva_00035_vox12,/home/temp/wjq/dataset/shared/object/MPEG_dense_sparse/testdata/sparse/Shiva_00035_vox12.ply,output/object_vox12/mpeg_sparse/Shiva_00035_vox12_R11.ply,256,yuv,12.761,9.181,0.222,0.035,6.628,0,inf,0,inf,0.00594947,0.000571228,0.000422681,22.2552,32.4319,33.7399,22.255,24.963
