filename,filedir,filedir_rec,lmb,color_format,enctime,dectime,bpp,gpcc_bpp,memory,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
boxer_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/boxer_thaidancer/boxer_viewdep/boxer_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part2/boxer_viewdep_vox12_R1.ply,32768,yuv,43.963,24.53,0.254,0.007,1.577,0,inf,0,inf,3.98E-05,7.69E-06,6.95E-06,43.9977,51.1385,51.5818,43.998,45.838
boxer_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/boxer_thaidancer/boxer_viewdep/boxer_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part2/boxer_viewdep_vox12_R2.ply,16384,yuv,37.86,22.416,0.19,0.007,1.577,0,inf,0,inf,5.08E-05,8.75E-06,7.88E-06,42.9446,50.5813,51.0367,42.945,44.911
boxer_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/boxer_thaidancer/boxer_viewdep/boxer_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part2/boxer_viewdep_vox12_R3.ply,8192,yuv,36.308,21.368,0.136,0.007,1.577,0,inf,0,inf,6.78E-05,1.01E-05,9.24E-06,41.687,49.9493,50.3425,41.687,43.802
boxer_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/boxer_thaidancer/boxer_viewdep/boxer_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part2/boxer_viewdep_vox12_R4.ply,8192,yuv,37.232,20.886,0.103,0.007,1.577,0,inf,0,inf,8.36E-05,1.08E-05,9.76E-06,40.7757,49.684,50.1052,40.776,43.055
boxer_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/boxer_thaidancer/boxer_viewdep/boxer_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part2/boxer_viewdep_vox12_R5.ply,4096,yuv,38.454,20.236,0.075,0.007,1.577,0,inf,0,inf,0.000103136,1.20E-05,1.10E-05,39.8659,49.2178,49.5896,39.866,42.25
boxer_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/boxer_thaidancer/boxer_viewdep/boxer_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part2/boxer_viewdep_vox12_R7.ply,2048,yuv,41.564,20.457,0.039,0.007,1.577,0,inf,0,inf,0.000157543,1.45E-05,1.45E-05,38.026,48.3924,48.398,38.026,40.618
boxer_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/boxer_thaidancer/boxer_viewdep/boxer_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part2/boxer_viewdep_vox12_R8.ply,1024,yuv,40.234,19.729,0.031,0.007,1.577,0,inf,0,inf,0.000192467,1.64E-05,1.67E-05,37.1564,47.8547,47.7605,37.156,39.819
boxer_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/boxer_thaidancer/boxer_viewdep/boxer_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part2/boxer_viewdep_vox12_R9.ply,512,yuv,41.084,19.532,0.024,0.007,1.577,0,inf,0,inf,0.000260972,1.90E-05,2.07E-05,35.8341,47.2048,46.8428,35.834,38.632
boxer_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/boxer_thaidancer/boxer_viewdep/boxer_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part2/boxer_viewdep_vox12_R10.ply,512,yuv,43.876,19.394,0.019,0.007,1.577,0,inf,0,inf,0.000306874,2.30E-05,2.53E-05,35.1304,46.3841,45.9652,35.13,37.891
boxer_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/boxer_thaidancer/boxer_viewdep/boxer_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part2/boxer_viewdep_vox12_R11.ply,256,yuv,44.124,19.412,0.016,0.007,1.577,0,inf,0,inf,0.000391727,2.54E-05,2.84E-05,34.0702,45.9516,45.4703,34.07,36.98
