filename,filedir,filedir_rec,lmb,color_format,enctime,dectime,bpp,gpcc_bpp,memory,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
redandblack_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/redandblack_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/redandblack_viewdep_vox12_R1.ply,32768,yuv,25.65,19.666,0.544,0.008,3.133,0,inf,0,inf,4.10E-05,2.35E-05,3.98E-05,43.8682,46.2904,44.0027,43.868,44.188
redandblack_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/redandblack_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/redandblack_viewdep_vox12_R2.ply,16384,yuv,25.548,18.209,0.414,0.008,3.133,0,inf,0,inf,5.23E-05,2.76E-05,4.55E-05,42.8134,45.5931,43.4202,42.813,43.237
redandblack_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/redandblack_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/redandblack_viewdep_vox12_R3.ply,8192,yuv,26.197,17.071,0.311,0.008,3.133,0,inf,0,inf,7.07E-05,3.39E-05,5.62E-05,41.5088,44.6959,42.5048,41.509,42.032
redandblack_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/redandblack_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/redandblack_viewdep_vox12_R4.ply,8192,yuv,25.237,17.024,0.254,0.008,3.133,0,inf,0,inf,8.70E-05,4.61E-05,9.56E-05,40.6046,43.365,40.1946,40.605,40.898
redandblack_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/redandblack_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/redandblack_viewdep_vox12_R5.ply,4096,yuv,22.974,16.317,0.192,0.008,3.133,0,inf,0,inf,0.000109735,5.31E-05,0.000110658,39.5965,42.746,39.5602,39.596,39.986
redandblack_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/redandblack_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/redandblack_viewdep_vox12_R6.ply,2048,yuv,22.92,15.823,0.14,0.008,3.133,0,inf,0,inf,0.000149738,6.53E-05,0.000140232,38.2467,41.8492,38.5315,38.247,38.733
redandblack_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/redandblack_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/redandblack_viewdep_vox12_R8.ply,1024,yuv,23.01,15.309,0.092,0.008,3.133,0,inf,0,inf,0.000233192,9.01E-05,0.000439328,36.3229,40.4532,33.5721,36.323,36.495
redandblack_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/redandblack_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/redandblack_viewdep_vox12_R9.ply,512,yuv,24.137,15.368,0.069,0.008,3.133,0,inf,0,inf,0.000310002,9.82E-05,0.000590605,35.0863,40.0773,32.287,35.086,35.36
redandblack_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/redandblack_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/redandblack_viewdep_vox12_R10.ply,512,yuv,23.678,15.36,0.046,0.008,3.133,0,inf,0,inf,0.000366018,0.000141515,0.000703442,34.365,38.492,31.5277,34.365,34.526
redandblack_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/redandblack_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/redandblack_viewdep_vox12_R11.ply,256,yuv,22.763,15.214,0.034,0.008,3.133,0,inf,0,inf,0.00045924,0.000155222,0.000815694,33.3796,38.0905,30.8847,33.38,33.657
