filename,filedir,filedir_rec,lmb,color_format,enctime,dectime,bpp,gpcc_bpp,memory,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
soldier_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/soldier_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/soldier_viewdep_vox12_R1.ply,32768,yuv,46.477,29.227,0.421,0.008,3.133,0,inf,0,inf,4.19E-05,6.91E-06,5.90E-06,43.7828,51.6045,52.2915,43.783,45.824
soldier_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/soldier_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/soldier_viewdep_vox12_R2.ply,16384,yuv,42.387,26.011,0.325,0.008,3.133,0,inf,0,inf,5.59E-05,8.79E-06,7.27E-06,42.5281,50.5578,51.3847,42.528,44.639
soldier_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/soldier_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/soldier_viewdep_vox12_R3.ply,8192,yuv,40.4,25.233,0.248,0.008,3.133,0,inf,0,inf,7.90E-05,1.15E-05,9.67E-06,41.0254,49.3874,50.1461,41.025,43.211
soldier_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/soldier_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/soldier_viewdep_vox12_R4.ply,8192,yuv,40.876,25.511,0.204,0.008,3.133,0,inf,0,inf,9.44E-05,1.21E-05,9.81E-06,40.2519,49.1751,50.0831,40.252,42.596
soldier_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/soldier_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/soldier_viewdep_vox12_R5.ply,4096,yuv,40.29,25.119,0.159,0.008,3.133,0,inf,0,inf,0.000126866,1.46E-05,1.21E-05,38.9665,48.3631,49.1846,38.967,41.418
soldier_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/soldier_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/soldier_viewdep_vox12_R7.ply,2048,yuv,38.626,23.446,0.097,0.008,3.133,0,inf,0,inf,0.0002313,1.73E-05,1.34E-05,36.3582,47.6265,48.7317,36.358,39.313
soldier_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/soldier_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/soldier_viewdep_vox12_R8.ply,1024,yuv,40.204,22.669,0.076,0.008,3.133,0,inf,0,inf,0.000306053,2.01E-05,1.57E-05,35.142,46.9596,48.0325,35.142,38.231
soldier_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/soldier_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/soldier_viewdep_vox12_R9.ply,512,yuv,40.702,22.314,0.058,0.008,3.133,0,inf,0,inf,0.000437559,2.36E-05,1.91E-05,33.5896,46.28,47.1918,33.59,36.876
soldier_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/soldier_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/soldier_viewdep_vox12_R10.ply,512,yuv,40.17,22.154,0.043,0.008,3.133,0,inf,0,inf,0.000566464,2.87E-05,2.32E-05,32.4683,45.4141,46.3452,32.468,35.821
soldier_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/soldier_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/soldier_viewdep_vox12_R11.ply,256,yuv,41.291,21.243,0.034,0.008,3.133,0,inf,0,inf,0.000736689,3.04E-05,2.45E-05,31.3272,45.1718,46.0997,31.327,34.904
